STATE,DISTRICT,YEAR,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,17,42_District_wise_crimes_committed_against_women_2001_2012.csv::17,False,UNIQUE,PRAKASHAM,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,18,42_District_wise_crimes_committed_against_women_2001_2012.csv::18,False,UNIQUE,RANGA REDDY,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,1,0,1,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,19,42_District_wise_crimes_committed_against_women_2001_2012.csv::19,False,UNIQUE,SECUNDERABAD RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,SRIKAKULAM,2001,8,12,6,38,47,108,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,20,42_District_wise_crimes_committed_against_women_2001_2012.csv::20,False,UNIQUE,SRIKAKULAM,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,VIJAYAWADA,2001,25,48,2,84,122,520,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,21,42_District_wise_crimes_committed_against_women_2001_2012.csv::21,False,UNIQUE,VIJAYAWADA,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,1,0,0,1,1,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,22,42_District_wise_crimes_committed_against_women_2001_2012.csv::22,False,UNIQUE,VIJAYAWADA RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,VISAKHA RURAL,2001,12,12,3,67,48,99,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,23,42_District_wise_crimes_committed_against_women_2001_2012.csv::23,False,UNIQUE,VISAKHA RURAL,SPECIAL_UNIT,VALID
ANDHRA PRADESH,VISAKHAPATNAM,2001,13,6,0,33,462,204,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,24,42_District_wise_crimes_committed_against_women_2001_2012.csv::24,False,UNIQUE,VISAKHAPATNAM,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,VIZIANAGARAM,2001,8,2,0,40,22,121,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,25,42_District_wise_crimes_committed_against_women_2001_2012.csv::25,False,UNIQUE,VIZIANAGARAM,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,WARANGAL,2001,53,25,52,241,0,165,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,26,42_District_wise_crimes_committed_against_women_2001_2012.csv::26,False,UNIQUE,WARANGAL,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,WEST GODAVARI,2001,61,21,15,246,56,348,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,27,42_District_wise_crimes_committed_against_women_2001_2012.csv::27,False,UNIQUE,WEST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,TOTAL,2001,871,765,420,3544,2271,5791,7,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,28,42_District_wise_crimes_committed_against_women_2001_2012.csv::28,False,UNIQUE,TOTAL,AGGREGATE,VALID
ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,29,42_District_wise_crimes_committed_against_women_2001_2012.csv::29,False,UNIQUE,CHANGLANG,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,30,42_District_wise_crimes_committed_against_women_2001_2012.csv::30,False,UNIQUE,DIBANG VALLEY,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,31,42_District_wise_crimes_committed_against_women_2001_2012.csv::31,False,UNIQUE,KAMENG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,32,42_District_wise_crimes_committed_against_women_2001_2012.csv::32,False,UNIQUE,KAMENG WEST,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,33,42_District_wise_crimes_committed_against_women_2001_2012.csv::33,False,UNIQUE,LOHIT,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,34,42_District_wise_crimes_committed_against_women_2001_2012.csv::34,False,UNIQUE,PAPUM PARE,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,35,42_District_wise_crimes_committed_against_women_2001_2012.csv::35,False,UNIQUE,SIANG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,36,42_District_wise_crimes_committed_against_women_2001_2012.csv::36,False,UNIQUE,SIANG UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,37,42_District_wise_crimes_committed_against_women_2001_2012.csv::37,False,UNIQUE,SIANG WEST,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,38,42_District_wise_crimes_committed_against_women_2001_2012.csv::38,False,UNIQUE,SUBANSIRI LOWER,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,39,42_District_wise_crimes_committed_against_women_2001_2012.csv::39,False,UNIQUE,SUBANSIRI UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,40,42_District_wise_crimes_committed_against_women_2001_2012.csv::40,False,UNIQUE,TAWANG,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,41,42_District_wise_crimes_committed_against_women_2001_2012.csv::41,False,UNIQUE,TIRAP,DISTRICT_OR_REPORTING_UNIT,VALID
ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,42,42_District_wise_crimes_committed_against_women_2001_2012.csv::42,False,UNIQUE,TOTAL,AGGREGATE,VALID
ASSAM,BARPETA,2001,28,88,10,29,0,95,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,43,42_District_wise_crimes_committed_against_women_2001_2012.csv::43,False,UNIQUE,BARPETA,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,44,42_District_wise_crimes_committed_against_women_2001_2012.csv::44,False,UNIQUE,BONGAIGAON,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,45,42_District_wise_crimes_committed_against_women_2001_2012.csv::45,False,UNIQUE,C.I.D.,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,CACHAR,2001,45,74,7,80,0,216,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,46,42_District_wise_crimes_committed_against_women_2001_2012.csv::46,False,UNIQUE,CACHAR,DISTRICT_OR_REPORTING_UNIT,VALID
