STATE,DISTRICT,YEAR,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Uttar Pradesh,Fatehpur,2014,58,28,0,28,30,14,16,14,121,91,0,0,30,0,43,101,71,23,3,4,0,0,0,0,0,0,93,0,18,2,1,3,21,19,2,0,0,0,1,0,1,0,1,0,0,0,97,2,0,0,1,1,0,0,0,0,1,0,578,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,705,42_District_wise_crimes_committed_against_women_2014.csv::705,False,UNIQUE,Fatehpur,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Firozabad,2014,61,0,0,0,61,4,57,8,245,0,0,0,245,0,55,131,17,1,5,5,103,0,0,0,0,0,146,0,25,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,102,84,0,0,0,1,1,0,0,0,0,0,866,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,706,42_District_wise_crimes_committed_against_women_2014.csv::706,False,UNIQUE,Firozabad,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,G. R. P.,2014,5,0,0,0,5,1,4,0,21,9,3,0,7,2,1,64,15,1,3,45,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,2,576,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,707,42_District_wise_crimes_committed_against_women_2014.csv::707,False,UNIQUE,G. R. P.,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Gautambudh Nagar,2014,54,7,3,4,47,2,45,8,150,135,0,0,15,0,35,161,121,14,2,24,0,7,0,0,0,7,198,0,18,2,2,0,3,2,1,0,0,0,0,0,0,15,0,0,1,0,150,0,0,0,0,0,0,0,0,0,0,53,857,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,708,42_District_wise_crimes_committed_against_women_2014.csv::708,False,UNIQUE,Gautambudh Nagar,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Ghaziabad,2014,118,14,0,14,104,13,91,0,391,85,42,0,264,0,38,283,164,40,1,59,19,3,0,0,0,3,575,0,28,2,3,0,6,3,1,2,0,0,0,0,0,2,0,0,1,0,263,0,0,0,0,1,1,0,0,0,0,101,1815,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,709,42_District_wise_crimes_committed_against_women_2014.csv::709,False,UNIQUE,Ghaziabad,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Ghazipur,2014,24,1,0,1,23,3,20,0,102,0,0,0,102,0,31,69,20,11,1,6,31,0,0,0,0,0,67,0,12,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,56,379,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,710,42_District_wise_crimes_committed_against_women_2014.csv::710,False,UNIQUE,Ghazipur,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Gonda,2014,37,0,0,0,37,3,34,5,126,0,0,0,97,29,28,56,17,5,1,2,31,0,0,0,0,0,12,0,8,0,4,0,39,39,0,0,0,0,0,0,0,2,0,0,2,0,0,106,0,0,0,0,0,0,0,0,0,54,479,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,711,42_District_wise_crimes_committed_against_women_2014.csv::711,False,UNIQUE,Gonda,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Gorakhpur,2014,92,22,0,22,70,2,68,0,271,0,0,0,256,15,58,132,78,13,1,40,0,0,0,0,0,0,223,0,29,0,7,0,11,11,0,0,0,0,0,0,0,5,0,0,7,0,120,0,0,0,0,2,0,0,0,0,2,3,960,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,712,42_District_wise_crimes_committed_against_women_2014.csv::712,False,UNIQUE,Gorakhpur,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Hamirpur,2014,29,13,1,12,16,2,14,0,55,0,0,0,55,0,26,97,75,18,1,3,0,1,0,0,1,0,42,0,5,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,293,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,713,42_District_wise_crimes_committed_against_women_2014.csv::713,False,UNIQUE,Hamirpur,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Hapur,2014,46,8,0,8,38,7,31,1,69,69,0,0,0,0,16,62,21,25,1,3,12,0,0,0,0,0,70,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,11,338,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,714,42_District_wise_crimes_committed_against_women_2014.csv::714,False,UNIQUE,Hapur,DISTRICT_OR_REPORTING_UNIT,VALID
