feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,0.0,0.0,0.0,0.0,153,20.99
SC_POA_RIOTS,0.0,0.0,0.0,0.0,153,21.02
SC_POA_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,147,20.19
SC_POA_ATTEMPT_TO_COMMIT_MURDER,0.0,0.0,0.0,0.0,143,19.64
WOMEN_OTHER_SLL_CRIMES_AGAINST_WOMEN,0.0,2.0,2.0,5.0,143,19.64
IPC_RIOTS_POLITICAL,0.0,0.0,0.0,0.0,135,18.52
IPC_ACID_ATTACK,0.0,0.0,0.0,0.0,131,17.97
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,0.0,1.0,1.0,2.5,130,17.86
WOMEN_ITP_UNDER_OTHER_SECTIONS,0.0,0.0,0.0,0.0,130,17.86
IPC_UNNATURAL_OFFENCE,0.0,1.0,1.0,2.5,129,17.7
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.0,0.0,0.0,0.0,127,17.45
WOMEN_KIDNAPING_ABDUCTION,0.0,12.0,12.0,30.0,125,17.17
IPC_HUMANTRAFFICKING,0.0,0.0,0.0,0.0,124,17.01
SC_POA_GRIEVOUS_HURT,0.0,1.0,1.0,2.5,124,17.03
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,0.0,0.0,0.0,0.0,124,17.01
SC_POA_HURT,0.0,1.0,1.0,2.5,123,16.9
WOMEN_KIDNAPING_ABDUCTION_OTHERS,0.0,7.0,7.0,17.5,122,16.76
WOMEN_ROBBERY,0.0,4.0,4.0,10.0,121,16.62
WOMEN_IN_OTHER_PLACES,0.0,4.0,4.0,10.0,117,16.07
IPC_PLACES_OTHER_THAN_231_232_233,0.0,4.0,4.0,10.0,117,16.05
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,0.0,7.0,7.0,17.5,116,15.93
WOMEN_OTHER_IPC_CRIMES,0.0,51.0,51.0,127.5,115,15.8
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.0,6.0,6.0,15.0,114,15.66
SC_POA_OTHER_SEXUAL_HARASSMENT,0.0,1.0,1.0,2.5,114,15.66
