feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
IPC_COUNTERFEITING_GOVERNMENT_STAMP,0.0,0.0,0.0,0.0,2,0.27
SC_IPC_VOYEURISM,0.0,0.0,0.0,0.0,1,0.14
ST_IPC_KIDNAPPING_FOR_RANSOM,0.0,0.0,0.0,0.0,1,0.14
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,0.0,0.0,0.0,0.0,1,0.14
SC_IPC_KIDNAPPING_FOR_RANSOM,0.0,0.0,0.0,0.0,1,0.14
ST_POA_ACID_ATTACK,0.0,0.0,0.0,0.0,1,0.14
SC_POA_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,0.0,1,0.14
SC_POA_KIDNAPPING_FOR_RANSOM,0.0,0.0,0.0,0.0,1,0.14
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,0.0,0,0.0
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_VOYEURISM,0.0,0.0,0.0,0.0,0,0.0
SC_IPC_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,0.0,0,0.0
SC_IPC_DACOITY_WITH_MURDER,0.0,0.0,0.0,0.0,0,0.0
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,0.0,0,0.0
ST_POA_DACOITY_WITH_MURDER,0.0,0.0,0.0,0.0,0,0.0
ST_POA_KIDNAPPING_FOR_RANSOM,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_ACID_ATTACK,0.0,0.0,0.0,0.0,0,0.0
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_DACOITY,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_DACOITY_WITH_MURDER,0.0,0.0,0.0,0.0,0,0.0
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_OTHER_DACOITY,0.0,0.0,0.0,0.0,0,0.0
ST_POA_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,0.0,0,0.0
ST_IPC_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,0.0,0,0.0
SC_IPC_ACID_ATTACK,0.0,0.0,0.0,0.0,0,0.0
SC_POA_DACOITY_WITH_MURDER,0.0,0.0,0.0,0.0,0,0.0
