Column,Missing_Cells,Missing_Percentage
07_01_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_IPC_2012__MALE_BELOW_18_YEARS,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_ACQUITTED,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_CONVICTED,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_WHOSE_CASES_CHARGE_SHEETS_WERE_LAID_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_ARRESTED_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_ACQUITTED,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_CONVICTED,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_UNDER_TRIAL_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_IN_WHOSE_CASES_CHARGE_SHEETS_WERE_LAID_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_RELEASED_OR_FREED_BY_POLICE_OR_MAGISTRATE_BEFORE_TRIAL_FOR_WANT_OF_EVIDENCE_OR_ANY_OTHER_REASON,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_ARRESTED_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__RAPE,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__OTHER_CRIMES,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__PROHIBITION_OF_CHILD_MARRIAGE_ACT,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__SELLING_OF_GIRLS_FOR_PROSTITUTION,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__BUYING_OF_GIRLS_FOR_PROSTITUTION,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__PROCURATION_OF_MINOR_GIRLS,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__EXPOSURE_AND_ABANDONMENT,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__ABETMENT_OF_SUICIDE,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__FOETICIDE,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__KIDNAPPING_AND_ABDUCTION,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__OTHER_MURDER,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__INFANTICID,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__OTHER_CRIMES_AGAINST_STS,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__PREVENTION_OF_ATROCITIES_POA_ACT,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__HURT,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__ARSON,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__ROBBERY,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__DACOITY,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__KIDNAPPING_ABDUCTION,456,92.87169042769857
03_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_CHILDREN_2013__TOTAL,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_ARRESTED_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_ACQUITTED,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_ARRESTED_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_CONVICTED,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
