column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,9856,92.61,728,35
SC_POA_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,20
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,9856,92.61,728,8
SC_POA_VOYEURISM,float64,9128,9856,92.61,728,4
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,float64,9128,9856,92.61,728,9
ST_POA_KIDNAPING_ABDUCTION_TOTAL,float64,9128,9856,92.61,728,6
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,9856,92.61,728,1
ST_POA_KIDNAPPING_FOR_RANSOM,float64,9128,9856,92.61,728,1
WOMEN_KIDNAPING_ABDUCTION_OTHERS,float64,9128,9856,92.61,728,85
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,float64,9128,9856,92.61,728,271
WOMEN_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,131
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,9856,92.61,728,71
WOMEN_VOYEURISM,float64,9128,9856,92.61,728,20
WOMEN_STALKING,float64,9128,9856,92.61,728,61
WOMEN_OTHERS,float64,9128,9856,92.61,728,205
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,float64,9128,9856,92.61,728,71
WOMEN_AT_OFFICE_PREMISES,float64,9128,9856,92.61,728,6
WOMEN_IN_PLACES_RELATED_TO_WORK,float64,9128,9856,92.61,728,15
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,float64,9128,9856,92.61,728,7
WOMEN_IN_OTHER_PLACES,float64,9128,9856,92.61,728,72
SC_POA_KIDNAPPING_FOR_RANSOM,float64,9128,9856,92.61,728,2
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,9856,92.61,728,15
SC_POA_OTHER_KIDNAPPING,float64,9128,9856,92.61,728,9
SC_POA_DACOITY,float64,9128,9856,92.61,728,3
SC_POA_DACOITY_WITH_MURDER,float64,9128,9856,92.61,728,1
SC_POA_OTHER_DACOITY,float64,9128,9856,92.61,728,3
SC_POA_ROBBERY,float64,9128,9856,92.61,728,5
