File,Status,State_Column,Year_Column,Rows_Original,Rows_After_Cleaning,Numeric_Features
40_02_Custodial_death_person_not_remanded.csv,Integrated,Area_Name,Column,228,228,7
40_03_Custodial_death_during_production.csv,Integrated,Area_Name,Column,204,204,7
40_04_Custodial_death_during_hospitalization_or_treatment.csv,Integrated,Area_Name,Column,213,213,1
40_05_Custodial_death_others.csv,Integrated,Area_Name,Column,233,233,6
41_Escapes_from_police_custody.csv,Integrated,Area_Name,Column,311,311,19
42_Cases_under_crime_against_women.csv,Integrated,﻿Area_Name,Column,4166,4165,18
42_District_wise_crimes_committed_against_women_2001_2012.csv,Integrated,STATE/UT,Column,9017,8609,7
42_District_wise_crimes_committed_against_women_2013.csv,Integrated,STATE/UT,Column,823,823,7
42_District_wise_crimes_committed_against_women_2014.csv,Integrated,States/UTs,Column,837,801,59
43_Arrests_under_crime_against_women.csv,Integrated,﻿Area_Name,Column,4166,4165,12
