File,Source_Rows,Source_State_Year_Keys,Source_States,Source_Years,Master_Rows_For_Those_Years,Master_States_For_Those_Years,Status
20_Victims_of_rape.csv,1050,350,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
21_Offenders_known_to_the_victim.csv,350,350,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
22_Persons_arrested_under_recidivism.csv,350,350,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
23_Anti_corruprion_cases.csv,346,346,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
24_Anti_corruption_arrests.csv,347,347,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
25_Complaints_against_police.csv,350,350,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
27_Nature_of_complaints_received_by_police.csv,349,349,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
28_Trial_of_violent_crimes_by_courts.csv,4473,346,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
29_Period_of_trials_by_courts.csv,1786,245,35,"2004, 2005, 2006, 2007, 2008, 2009, 2010",245,35,CHECKED
30_Auto_theft.csv,1865,344,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
31_Serious_fraud.csv,448,236,33,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
32_Murder_victim_age_sex.csv,1018,342,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
33_CH_not_murder_victim_age_sex.csv,936,326,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
34_Use_of_fire_arms_in_murder_cases.csv,284,284,33,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
