column,missing_count,missing_pct,non_missing_count
WOMEN_ITP_UNDER_SECTION_8,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_7,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_6,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_5,9128,92.61,728
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,9128,92.61,728
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,9128,92.61,728
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,9128,92.61,728
WOMEN_ROBBERY,9128,92.61,728
WOMEN_DOWRY_PROHIBITION_ACT_1961,9128,92.61,728
WOMEN_OTHER_IPC_CRIMES,9128,92.61,728
WOMEN_UNNATURAL_OFFENCES,9128,92.61,728
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,9128,92.61,728
WOMEN_HUMANTRAFFICKING,9128,92.61,728
WOMEN_ARSON,9128,92.61,728
WOMEN_AT_OFFICE_PREMISES,9128,92.61,728
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,9128,92.61,728
WOMEN_OTHERS,9128,92.61,728
ST_IPC_ATTEMPT_TO_ACID_ATTACK,9128,92.61,728
ST_TOTAL_CRIMES_AGAINST_STS,9128,92.61,728
ST_OTHER_SLL_CRIME_AGAINST_STS,9128,92.61,728
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,9128,92.61,728
ST_TOTAL_IPC_CRIMES_AGAINST_STS,9128,92.61,728
ST_IPC_OTHER_IPC_CRIMES,9128,92.61,728
ST_IPC_RIOTS,9128,92.61,728
ST_IPC_ACID_ATTACK,9128,92.61,728
WOMEN_STALKING,9128,92.61,728
ST_IPC_HURT,9128,92.61,728
ST_IPC_GRIEVOUS_HURT,9128,92.61,728
ST_IPC_ARSON,9128,92.61,728
ST_IPC_ROBBERY,9128,92.61,728
ST_IPC_OTHER_DACOITY,9128,92.61,728
ST_IPC_DACOITY_WITH_MURDER,9128,92.61,728
WOMEN_CUSTODIAL_RAPE,9128,92.61,728
WOMEN_CUSTODIAL_GANG_RAPE,9128,92.61,728
WOMEN_CUSTODIAL_OTHER_RAPE,9128,92.61,728
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,9128,92.61,728
WOMEN_RAPE_GANG_RAPE,9128,92.61,728
