candidate,class_or_group,count,percentage
_CANDIDATE_FIVE_LEVEL,1.0,1927,19.55
_CANDIDATE_FIVE_LEVEL,2.0,1926,19.54
_CANDIDATE_FIVE_LEVEL,3.0,1926,19.54
_CANDIDATE_FIVE_LEVEL,4.0,1926,19.54
_CANDIDATE_FIVE_LEVEL,5.0,1926,19.54
_CANDIDATE_FIVE_LEVEL,MISSING,225,2.28
