File,State_Column,Raw_State_Label
02_District_wise_crimes_committed_against_ST_2014.csv,States/UTs,Chandigarh
02_District_wise_crimes_committed_against_ST_2014.csv,States/UTs,D&N Haveli
02_District_wise_crimes_committed_against_ST_2014.csv,States/UTs,Daman & Diu
02_District_wise_crimes_committed_against_ST_2014.csv,States/UTs,Delhi UT
02_District_wise_crimes_committed_against_ST_2014.csv,States/UTs,Lakshadweep
02_District_wise_crimes_committed_against_ST_2014.csv,States/UTs,Puducherry
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,ANDHRA PRADESH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,ARUNACHAL PRADESH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,ASSAM
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,BIHAR
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,CHHATTISGARH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,GOA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,GUJARAT
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,HARYANA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,HIMACHAL PRADESH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,JAMMU & KASHMIR
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,JHARKHAND
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,KARNATAKA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,KERALA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,MADHYA PRADESH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,MAHARASHTRA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,MANIPUR
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,MEGHALAYA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,MIZORAM
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,NAGALAND
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,ODISHA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,PUNJAB
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,RAJASTHAN
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,SIKKIM
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,TAMIL NADU
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,TRIPURA
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,UTTAR PRADESH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,UTTARAKHAND
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,WEST BENGAL
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,A & N ISLANDS
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,CHANDIGARH
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,D & N HAVELI
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,DAMAN & DIU
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,DELHI
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,LAKSHADWEEP
03_District_wise_crimes_committed_against_children_2001_2012.csv,STATE/UT,PUDUCHERRY
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Andhra Pradesh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Arunachal Pradesh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Assam
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Bihar
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Chhattisgarh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Goa
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Gujarat
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Haryana
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Himachal Pradesh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Jammu & Kashmir
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Jharkhand
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Karnataka
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Kerala
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Madhya Pradesh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Maharashtra
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Manipur
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Meghalaya
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Mizoram
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Nagaland
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Odisha
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Punjab
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Rajasthan
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Sikkim
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Tamil Nadu
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Tripura
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Uttar Pradesh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Uttarakhand
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,West Bengal
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,A&N Islands
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Chandigarh
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,D&N Haveli
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Daman & Diu
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Delhi UT
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Lakshadweep
03_District_wise_crimes_committed_against_children_2013.csv,STATE/UT,Puducherry
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,ANDHRA PRADESH
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,ARUNACHAL PRADESH
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,ASSAM
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,BIHAR
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,CHHATTISGARH
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,GOA
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,GUJARAT
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,HARYANA
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,HIMACHAL PRADESH
