File,Rows,Columns,Granularity,State_Column,Year_Column,Year_Source,Min_Year,Max_Year,Number_of_Years,Unique_States,Unique_State_Year_Keys,Duplicate_State_Year_Rows,Total_Summary_Rows,Duplicate_Complete_Rows,Numeric_Columns,Missing_Cells,Missing_Percentage,Malformed_Rows,Rows_Repaired,Unresolved_Rows
16_Casualties_under_police_firing_and_lathi_charge.csv,1749,8,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,1399,0,0,6,0,0.0,0,0,0
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv,4344,11,State/Year level,STATE/UT,YEAR,Year column,2001,2012,12,35,420,3924,0,0,9,0,0.0,0,0,0
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv,385,11,State/Year level,STATE/UT,YEAR,Year column,2013,2013,1,35,35,350,0,0,9,0,0.0,0,0,0
17_Crime_by_place_of_occurrence_2001_2012.csv,456,34,State/Year level,STATE/UT,YEAR,Year column,2001,2012,12,38,455,1,36,0,33,0,0.0,0,0,0
17_Crime_by_place_of_occurrence_2013.csv,38,34,State/Year level,STATE/UT,YEAR,Year column,2013,2013,1,38,38,0,3,0,33,0,0.0,0,0,0
17_Crime_by_place_of_occurrence_2014.csv,39,82,State/Year level,States/UTs,Year,Year column,2014,2014,1,39,39,0,3,0,81,0,0.0,0,0,0
18_01_Juveniles_arrested_Education.csv,350,8,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,6,0,0.0,0,0,0
18_02_Juveniles_arrested_Economic_setup.csv,350,10,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,8,0,0.0,0,0,0
18_03_Juveniles_arrested_Family_background.csv,350,7,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,5,0,0.0,0,0,0
18_04_Juveniles_arrested_Recidivism.csv,350,6,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,4,0,0.0,0,0,0
19_Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv,350,30,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,29,0,0.0,0,0,0
20_Victims_of_rape.csv,1050,11,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,350,700,0,0,9,0,0.0,0,0,0
21_Offenders_known_to_the_victim.csv,350,7,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,6,0,0.0,0,0,0
22_Persons_arrested_under_recidivism.csv,350,7,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,6,0,0.0,0,0,0
23_Anti_corruprion_cases.csv,346,29,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,346,0,0,0,28,0,0.0,0,0,0
24_Anti_corruption_arrests.csv,347,24,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,347,0,0,0,23,0,0.0,0,0,0
25_Complaints_against_police.csv,350,22,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,20,0,0.0,0,0,0
27_Nature_of_complaints_received_by_police.csv,349,10,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,349,0,0,0,9,0,0.0,0,0,0
28_Trial_of_violent_crimes_by_courts.csv,4473,7,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,346,4127,0,0,4,0,0.0,0,0,0
29_Period_of_trials_by_courts.csv,1786,11,State/Year + Category/Group,Area_Name,Year,Year column,2004,2010,7,35,245,1541,0,0,8,0,0.0,0,0,0
30_Auto_theft.csv,1865,7,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,344,1521,0,0,4,0,0.0,0,0,0
31_Serious_fraud.csv,448,9,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,33,236,212,0,0,6,0,0.0,0,0,0
