Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Naive Bayes,0.6248053969901401,0.6310051463290861,0.6248053969901401,0.5962450577889243,0.8740492057301268,0.5808741156041217
Random Tree,0.6165023352361183,0.6117828449004944,0.6165023352361183,0.613719698932844,0.7603174282537574,0.4741596520469271
Multi-class Classifier,0.49662688116242865,0.535076846236022,0.49662688116242865,0.4797091278132214,,
