,count,mean,std,min,1%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
IPC_CRIMINAL_TRESPASS_BURGLARY,729.0,140.5980795610425,223.72277057382854,0.0,0.0,29.0,82.0,174.0,413.80000000000007,1071.4800000000002,3055.0,9127,92.6
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,729.0,104.58024691358025,180.03631179660275,0.0,0.0,7.0,51.0,135.0,338.8000000000002,808.1200000000019,2531.0,9127,92.6
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,729.0,36.01783264746228,83.1361815430554,0.0,0.0,0.0,4.0,36.0,163.60000000000014,394.52000000000044,1041.0,9127,92.6
IPC_OTHER_THEFTS,729.0,296.87654320987656,714.6868645832345,0.0,0.0,50.0,135.0,270.0,866.0000000000007,4349.480000000015,7375.0,9127,92.6
IPC_UNLAWFUL_ASSEMBLY,729.0,11.925925925925926,55.654077780755415,0.0,0.0,0.0,0.0,1.0,60.200000000000045,258.28000000000065,1042.0,9127,92.6
IPC_RIOTS_COMMUNAL,729.0,1.5500685871056241,13.361439027286872,0.0,0.0,0.0,0.0,0.0,3.6000000000000227,24.320000000000164,207.0,9127,92.6
IPC_RIOTS_INDUSTRIAL,729.0,0.24005486968449932,3.4805168867831964,0.0,0.0,0.0,0.0,0.0,0.0,4.720000000000027,92.0,9127,92.6
IPC_RIOTS_POLITICAL,729.0,2.156378600823045,14.278055707257254,0.0,0.0,0.0,0.0,0.0,9.0,38.360000000000355,300.0,9127,92.6
IPC_RIOTS_CASTE_CONFLICT,729.0,1.9574759945130316,12.18930815022268,0.0,0.0,0.0,0.0,0.0,7.0,55.0,246.0,9127,92.6
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,729.0,0.411522633744856,2.1214962096154766,0.0,0.0,0.0,0.0,0.0,2.0,11.160000000000082,27.0,9127,92.6
IPC_RIOTS_OTHER_CASTE_CONFLICT,729.0,1.5459533607681757,11.605625208787023,0.0,0.0,0.0,0.0,0.0,2.6000000000000227,55.0,232.0,9127,92.6
IPC_RIOTS_AGRARIAN,729.0,0.831275720164609,5.76916858827794,0.0,0.0,0.0,0.0,0.0,3.6000000000000227,12.440000000000055,102.0,9127,92.6
IPC_RIOTS_STUDENTS,729.0,0.2729766803840878,2.028193330933287,0.0,0.0,0.0,0.0,0.0,1.0,6.720000000000027,40.0,9127,92.6
IPC_RIOTS_SECTARIAN,729.0,0.039780521262002745,0.8033637770999641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9127,92.6
IPC_RIOTS_OTHERS,729.0,76.30727023319616,132.3022740509366,0.0,0.0,3.0,28.0,90.0,323.80000000000007,566.2800000000007,1818.0,9127,92.6
IPC_FORGERY,729.0,14.486968449931412,65.95263583324041,0.0,0.0,0.0,0.0,6.0,56.80000000000018,196.72000000000003,980.0,9127,92.6
IPC_COUNTERFEITING,729.0,2.336076817558299,12.084788661994876,0.0,0.0,0.0,0.0,2.0,7.0,26.88000000000011,285.0,9127,92.6
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,729.0,0.4170096021947874,10.557874846057683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,285.0,9127,92.6
IPC_COUNTERFEITING_GOVERNMENT_STAMP,729.0,0.0027434842249657062,0.052342293632192546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9127,92.6
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,729.0,1.916323731138546,6.010509996874368,0.0,0.0,0.0,0.0,2.0,7.0,24.0,82.0,9127,92.6
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,729.0,0.8161865569272977,2.273041059342395,0.0,0.0,0.0,0.0,1.0,4.0,10.720000000000027,26.0,9127,92.6
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,729.0,0.7626886145404664,4.9922942173545,0.0,0.0,0.0,0.0,0.0,3.0,9.0,82.0,9127,92.6
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,729.0,0.2784636488340192,2.205285820130972,0.0,0.0,0.0,0.0,0.0,1.0,5.0,51.0,9127,92.6
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,729.0,0.024691358024691357,0.2907822803307219,0.0,0.0,0.0,0.0,0.0,0.0,0.7200000000000273,5.0,9127,92.6
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,729.0,0.03429355281207133,0.5548768069141419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9127,92.6
