UNIT_NAME,row_count
Udhamsingh Nagar,1
Rudra Prayag,1
Malda,1
Pithoragarh,1
Sant Kabirnagar,1
Shahjahanpur,1
Shamli,1
Shrawasti,1
Sidharthnagar,1
Sitapur,1
Sonbhadra,1
St.Ravidasnagar,1
Sultanpur,1
Unnao,1
Varanasi,1
Almora,1
Bageshwar,1
Chamoli,1
Champawat,1
Dehradun,1
Haridwar,1
Nainital,1
Pauri Garhwal,1
Kolkata,1
Murshidabad,1
Saharanpur,1
South-East,1
Spl Cell,1
SPUWAC,1
Vigilance,1
Lakshadweep,1
Karaikal,1
Puducherry,1
N.C. HILLS,1
HISAR,1
MAHENDERGARH,1
GUMALA,1
I.G.I.AIRPORT,1
VILUPPURAM,1
MIDNAPUR,1
C.B.KASHMIR,1
BADWANI,1
GARI HILLS EAST,1
KANCHEEPURAM,1
AMBEDKARNAGAR,1
KAWARDHA,1
South-West,1
Outer,1
Nadia,1
North-West,1
Paschim Medinipur,1
Purab Medinipur,1
Purulia,1
Sealdah G. R. P.,1
Siliguri G. R. P.,1
Siliguri PC,1
Uttar Dinajpur,1
South Andaman,1
North & Middle Andaman,1
Nicobar,1
Chandigarh,1
D&N Haveli,1
Daman,1
Diu,1
Central,1
IGI Airport,1
Metro,1
New Delhi,1
North-East,1
Sambhal,1
Rampur,1
Ramnathapuram,1
Nalgonda,1
Ranga Reddy,1
Warangal,1
Dhalai,1
Gomati,1
Kowai,1
Sipahijala,1
Unakoti,1
Agra,1
Aligarh,1
Allahabad,1
Ambedkar Nagar,1
Amethi,1
Amroha,1
Auraiya,1
Azamgarh,1
Badaun,1
Baghpat,1
Bahraich,1
Ballia,1
Nizamabad,1
Medak,1
Barabanki,1
Mahaboob Nagar,1
Gondia,1
Sivagangai,1
Thanjavur,1
Theni,1
Thirunelveli,1
Thiruvallur,1
Thiruvannamalai,1
Thiruvarur,1
Thoothugudi,1
Tiruppur,1
Trichy,1
Vellore,1
Villupuram,1
Virudhunagar,1
Other Units,1
Adilabad,1
Cyberabad,1
Karimnagar,1
Khammam,1
Banda,1
Bareilly,1
Raibareilly,1
Jhansi,1
Kanpur Dehat,1
Kanpur Nagar,1
Kasganj,1
Kaushambi,1
Khiri,1
Kushi Nagar,1
Lalitpur,1
Lucknow,1
Maharajganj,1
Mahoba,1
Mainpuri,1
Mathura,1
Mau,1
Meerut,1
Mirzapur,1
Moradabad,1
Muzaffarnagar,1
Pilibhit,1
Pratapgarh,1
Kannauj,1
Jaunpur,1
Basti,1
Jalaun,1
Bijnor,1
Bulandshahar,1
Chandoli,1
Chitrakoot,1
Deoria,1
Etah,1
Etawah,1
Faizabad,1
Fatehgarh,1
Fatehpur,1
Firozabad,1
Gautambudh Nagar,1
Ghaziabad,1
Ghazipur,1
Gonda,1
Gorakhpur,1
Hapur,1
Hardoi,1
Hathras,1
Hingoli,1
Chandrapur,1
Gadchiroli,1
Vaishali,1
Anti Terrorist Squad,1
Balod,1
Balodbazar,1
Bemetra,1
Bizapur,1
Dantewara,1
Dhamtari,1
Durg,1
Gariyaband,1
G. R. P. Raipur,1
Jagdalpur,1
Janjgir,1
Jashpur,1
Kabirdham,1
Kanker,1
Kondagaon,1
Korba,1
Koriya,1
Mahasamund,1
Economic Offences Unit,1
Supaul,1
Narayanpur,1
Siwan,1
Kishanganj,1
Lakhisarai,1
Madhepura,1
Madhubani,1
Motihari,1
Munger,1
Muzaffarpur,1
Nalanda,1
Naugachia,1
Nawadah,1
Patna,1
Purnea,1
Rohtas,1
Saharsa,1
Samastipur,1
Saran,1
Sheikhpura,1
Sheohar,1
Sitamarhi,1
Mungali,1
Raigarh,1
Dhule,1
Junagadh,1
Kachchh West(B),1
Kheda,1
Mahisagar,1
Mehsana,1
Morbi,1
Narmada,1
Navsari,1
Panchmahal,1
Patan,1
Porbandar,1
Sabarkantha,1
Surendranagar,1
Tapi,1
Valsad,1
W.Rly  Ahmedabad,1
W.Rly Vadodara,1
Bhiwani,1
Faridabad,1
Fatehabad,1
Kachchh East(G),1
Jamnagar,1
Raipur,1
Gir Somnath,1
Rajnandgaon,1
Sarguja,1
Sukma,1
Surajpur,1
North Goa,1
South Goa,1
Amreli,1
Anand,1
Arvalli,1
Banaskantha,1
Bharuch,1
Bhavnagar,1
Botad,1
Chhotaudepur,1
C. I. D. Crime,1
Dahod,1
Dang,1
Devbhumi Dwarka,1
Gandhinagar,1
Khagaria,1
Katihar,1
Jehanabad,1
Krishna,1
Nellore,1
Prakasham,1
Rajahmundry,1
Srikakulam,1
Visakhapatnam,1
Vizianagaram,1
West Godavari,1
Anjaw,1
Changlang,1
LONGDING,1
Dibang Valley,1
Kameng East,1
Kameng West,1
Kukung Kumey,1
Lohit,1
Longding,1
Lower Dibang Valley,1
Siang East,1
Siang Upper,1
Kurnool,1
Guntur,1
Jamui,1
East Godavari,1
GARO HILLS NORTH,1
GARO HILLS SOUTH W.,1
JAINTIA HILLS EAST,1
JAINTIA HILLS WEST,1
KHASI HILLS SOUTH W.,1
SPL NARCOTIC,1
TRAFFIC PS,1
DISCOM,1
AMETHI,1
AMROHA,1
HAPUR,1
KASGANJ,1
SAMBHAL,1
SHAMLI,1
D&N HAVELI,1
METRO RAIL,1
Anantapur,1
Chittoor,1
Cuddapah,1
Siang West,1
Subansiri Lower,1
Subansiri Upper,1
Tawang,1
Nalbari,1
Sibsagar,1
Sonitpur,1
Tinsukia,1
Udalguri,1
Araria,1
Arwal,1
Aurangabad,1
Bagaha,1
Banka,1
Begusarai,1
Bettiah,1
Bhabhua,1
Bhagalpur,1
Bhojpur,1
Buxar,1
Darbhanga,1
Gaya,1
Gopalganj,1
Nagaon,1
N. C. Hills,1
Morigaon,1
Dhubri,1
Tirap,1
Barpeta,1
Baska,1
Bongaigaon,1
Cachar,1
Chirang,1
Darrang,1
Dhemaji,1
Dibrugarh,1
Lakhimpur,1
Goalpara,1
Golaghat,1
Hailakandi,1
Jorhat,1
Kamrup,1
Karbi Anglong,1
Karimganj,1
Kokrajhar,1
Gurgaon,1
Hissar,1
Jhajjar,1
Kozhikode Commr.,1
Palakkad,1
Pathanamthitta,1
Thrissur Commr.,1
Trivandrum Commr.,1
Wayanadu,1
Agar,1
Alirajpur,1
Anuppur,1
Ashok Nagar,1
Balaghat,1
Barwani,1
Betul,1
Bhind,1
Bhopal,1
Burhanpur,1
Chhatarpur,1
Chhindwara,1
Damoh,1
Datia,1
Malappuram,1
Kottayam,1
Gadag,1
Kollam Commr.,1
Hassan,1
Haveri,1
Kodagu,1
Kolar,1
Koppal,1
Mandya,1
Mysuru District,1
Raichur,1
Ramanagar,1
Shimoga,1
Tumakuru,1
Udupi,1
Uttara Kannada,1
Yadgiri,1
Alapuzha,1
Ernakulam Commr.,1
Idukki,1
Kannur,1
Kasargod,1
Dewas,1
Dhar,1
Dindori,1
Guna,1
Shahdol,1
Shajapur,1
Sheopur,1
Shivpuri,1
Sidhi,1
Sehore,1
Singrauli,1
Tikamgarh,1
Ujjain,1
Umaria,1
Vidisha,1
G.R.P. JODHPUR,1
Ahmednagar,1
Akola,1
Aurangabad Commr.,1
Beed,1
Bhandara,1
Buldhana,1
AGAR,1
Seoni,1
Satna,1
Sagar,1
Khargone,1
Gwalior,1
Harda,1
Hoshangabad,1
Indore,1
Jabalpur,1
Jhabua,1
Katni,1
Khandwa,1
Mandla,1
Rewa,1
Mandsaur,1
Morena,1
Narsinghpur,1
Neemuch,1
Panna,1
Raisen,1
Rajgarh,1
Ratlam,1
Kalaburgi,1
Dharwad,1
Jind,1
Shimla,1
Solan,1
Una,1
Anantnag,1
Awantipora,1
Bandipora,1
Baramulla,1
Budgam,1
Crime Jammu,1
Crime Srinagar,1
Doda,1
Ganderbal,1
Handwara,1
Jammu,1
Kargil,1
Kathua,1
Kishtwar,1
Kulgam,1
Kupwara,1
Leh,1
Sirmaur,1
Mandi,1
Davanagere,1
Lahaul & Spiti,1
Kaithal,1
Karnal,1
Kurukshetra,1
Mahendergarh,1
Mewat,1
Palwal,1
Panchkula,1
Panipat,1
Rewari,1
Rohtak,1
Sirsa,1
Sonipat,1
Yamunanagar,1
Irrigation & Power,1
Baddi,1
Chamba,1
Kangra,1
Kinnaur,1
Kullu,1
Poonch,1
Pulwama,1
Rajouri,1
Ramban,1
Lohardagga,1
Pakur,1
Palamu,1
Ramgarh,1
Ranchi,1
Sahebganj,1
Saraikela,1
Simdega,1
Bagalkot,1
Bengaluru District,1
Belagavi District,1
Ballari,1
Bidar,1
Vijayapura,1
Chikkaballapura,1
Chamarajnagar,1
Chikkamagaluru,1
Chitradurga,1
Dakshina Kannada,1
Latehar,1
Koderma,1
Khunti,1
Chatra,1
Reasi,1
Samba,1
Shopian,1
Sopore,1
Srinagar,1
Udhampur,1
Bokaro,1
Chaibasa,1
Deoghar,1
Jamtara,1
