column_name,data_type,missing_count,missing_pct,unique_values
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,float64,9127,92.6,6
IPC_COUNTERFEITING_GOVERNMENT_STAMP,float64,9127,92.6,2
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,float64,9127,92.6,26
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,float64,9127,92.6,16
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,float64,9127,92.6,17
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,float64,9127,92.6,11
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,float64,9127,92.6,4
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,float64,9127,92.6,5
IPC_GRIEVOUS_HURT,float64,9127,92.6,257
IPC_HURT,float64,9127,92.6,261
IPC_ACID_ATTACK,float64,9127,92.6,8
IPC_ATTEMPT_TO_ACID_ATTACK,float64,9127,92.6,4
IPC_SEXUAL_HARASSMENT,float64,9127,92.6,131
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,float64,9127,92.6,71
IPC_VOYEURISM,float64,9127,92.6,20
IPC_STALKING,float64,9127,92.6,61
IPC_OTHER_ASSAULT_ON_WOMEN,float64,9127,92.6,205
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9127,92.6,71
IPC_AT_OFFICE_PREMISES,float64,9127,92.6,6
IPC_OTHER_PLACES_RELATED_TO_WORK,float64,9127,92.6,15
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,float64,9127,92.6,7
IPC_PLACES_OTHER_THAN_231_232_233,float64,9127,92.6,72
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,float64,9127,92.6,5
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,float64,9127,92.6,324
IPC_DEATHS_DUE_TO_OTHER_CAUSES,float64,9127,92.6,59
IPC_OFFENCES_AGAINST_STATE,float64,9127,92.6,13
IPC_SEDITION,float64,9127,92.6,6
IPC_OTHER_OFFENCES_AGAINST_STATE,float64,9127,92.6,12
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,float64,9127,92.6,14
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,float64,9127,92.6,14
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,float64,9127,92.6,3
IPC_EXTORTION,float64,9127,92.6,72
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,float64,9127,92.6,3
IPC_INCIDENCE_OF_RASH_DRIVING,float64,9127,92.6,437
IPC_HUMANTRAFFICKING,float64,9127,92.6,24
IPC_UNNATURAL_OFFENCE,float64,9127,92.6,23
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,float64,9127,92.6,686
SC_MURDER,float64,1003,10.18,21
SC_RAPE,float64,1003,10.18,32
