dataset_a,dataset_b,family_a,family_b,shared_dimensions,shared_dimension_count
01_District_wise_crimes_committed_IPC_2001_2012.csv,24_Anti_corruption_arrests.csv,DISTRICT_WISE_CRIME,ANTI_CORRUPTION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,25_Complaints_against_police.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,27_Nature_of_complaints_received_by_police.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,28_Trial_of_violent_crimes_by_courts.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,29_Period_of_trials_by_courts.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,30_Auto_theft.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,31_Serious_fraud.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,32_Murder_victim_age_sex.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,33_CH_not_murder_victim_age_sex.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,34_Use_of_fire_arms_in_murder_cases.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,35_Human_rights_violation_by_police.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,36_Police_housing.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,37_Home_guards_and_auxilliary_force.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,DISTRICT_WISE_CRIME,OTHER_SPECIALIZED,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,39_Specific_purpose_of_kidnapping_and_abduction.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
