filename,dataset_family,has_year,year_columns,has_state,state_columns,has_district,district_columns,has_crime_head,crime_head_columns,has_area,area_columns
10_Property_stolen_and_recovered.csv,PROPERTY_CRIME,True,Year,False,,False,,False,,True,Area_Name
11_Property_stolen_and_recovered_nature_of_property.csv,PROPERTY_CRIME,True,Year,False,,False,,False,,True,Area_Name
12_Police_strength_actual_and_sanctioned.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
13_Police_killed_or_injured_on_duty.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
14_Age_profile_of_police_personnel_killed_on_duty.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
15_Police_natural_death_and_suicide.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
16_Casualties_under_police_firing_and_lathi_charge.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv,PROPERTY_CRIME,True,YEAR,True,STATE/UT,False,,False,,True,Place Of Occurrence
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv,PROPERTY_CRIME,True,YEAR,True,STATE/UT,False,,False,,True,Place Of Occurrence
17_Crime_by_place_of_occurrence_2001_2012.csv,CRIME_PLACE_OF_OCCURRENCE,True,YEAR,True,STATE/UT,False,,False,,True,OTHER PLACES - Dacoity; OTHER PLACES - Robbery; OTHER PLACES - Burglary; OTHER PLACES - Theft
17_Crime_by_place_of_occurrence_2013.csv,CRIME_PLACE_OF_OCCURRENCE,True,YEAR,True,STATE/UT,False,,False,,True,OTHER PLACES - Dacoity; OTHER PLACES - Robbery; OTHER PLACES - Burglary; OTHER PLACES - Theft
17_Crime_by_place_of_occurrence_2014.csv,CRIME_PLACE_OF_OCCURRENCE,True,Year,True,States/UTs,False,,False,,True,Religious Places_Dacoity_Cases reported; Religious Places_Dacoity_Value of property stolen; Religious Places_Robbery_Cases reported; Religious Places_Robbery_Value of property stolen; Religious Places_Burglary_Cases reported; Religious Places_Burglary_Value of property stolen; Religious Places_Theft_Cases reported; Religious Places_Theft_Value of property stolen; OtherPlaces_Dacoity_Cases reported; OtherPlaces_Dacoity_Value of property stolen; OtherPlaces_Robbery_Cases reported; OtherPlaces_Robbery_Value of property stolen; OtherPlaces_Burglary_Cases reported; OtherPlaces_Burglary_Value of property stolen; OtherPlaces_Theft_Cases reported; OtherPlaces_Theft_Value of property stolen
18_01_Juveniles_arrested_Education.csv,JUVENILE,True,Year,False,,False,,False,,True,Area_Name
18_02_Juveniles_arrested_Economic_setup.csv,JUVENILE,True,Year,False,,False,,False,,True,Area_Name
18_03_Juveniles_arrested_Family_background.csv,JUVENILE,True,Year,False,,False,,False,,True,Area_Name
18_04_Juveniles_arrested_Recidivism.csv,JUVENILE,True,Year,False,,False,,False,,True,Area_Name
19_Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
20_Victims_of_rape.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
21_Offenders_known_to_the_victim.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
22_Persons_arrested_under_recidivism.csv,ARREST_DISPOSAL,True,Year,False,,False,,False,,True,Area_Name
23_Anti_corruprion_cases.csv,ANTI_CORRUPTION,True,Year; AC01_No_of_cases_pending_investigation_from_previous_year; AC02_No_of_cases_registered_during_the_year; AC03_Total_No_of_cases_for_investigation_during_the_year; AC04_No_of_cases_investigated_during_the_year; AC05_No_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year; AC06_No_of_cases_transferred_to_local_police_during_the_year; AC08_No_of_cases_in_which_charge_sheets_were_laid_during_the_year; AC09_No_of_cases_pending_departmental_sanction_for_prosecution_during_the_year; AC10_No_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year; AC11_No_of_cases_reported_for_regular_departmental_action_during_the_year; AC12_No_of_cases_reported_for_suitable_action_during_the_year; AC13_No_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year; AC14_No_of_cases_pending_investigation_at_the_end_of_the_year; AC15_No_of_cases_resulted_in_recoveries_or_seizures_during_the_year; AC18_No_of_cases_pending_trial_from_the_previous_year; AC19_No_of_cases_sent_up_for_trial_during_the_year; AC20_Total_No_of_cases_for_trial_during_the_year; AC21_No_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year; AC22_No_of_cases_in_which_trials_were_completed_during_the_year; AC23_No_of_cases_convicted_during_the_year; AC24_No_of_cases_acquitted_or_discharged_during_the_year; AC25_No_of_cases_pending_trial_at_the_end_of_the_year; AC26_Percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,False,,False,,False,,True,Area_Name
24_Anti_corruption_arrests.csv,ANTI_CORRUPTION,True,Year; ACA01_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year; ACA02_No_of_persons_arrested_during_the_year; ACA04_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year; ACA05_No_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year; ACA06_No_of_persons_under_trial_at_the_beginning_of_the_year; ACA07_Total_No_of_persons_under_trial_during_the_year; ACA08_No_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year; ACA09_No_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year; ACA10_No_of_persons_in_whose_cases_trials_were_completed_during_the_year; ACA11_No_of_persons_convicted_during_the_year; ACA12_No_of_persons_acquitted_during_the_year; ACA13_Percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year; ACA14_No_of_persons_involved_in_the_cases_reported_for_Regular_Departmental_Action_during_the_year; ACA15_No_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year; ACA161_No_of_persons_dismissed_from_Service_during_the_year; ACA162_No_of_persons_removed_from_service_during_the_year; ACA163_No_of_persons_awarded_other_major_punishments_during_the_year; ACA164_No_of_persons_awarded_minor_punishments_during_the_year; ACA19_No_of_private_persons_involved_during_the_year,False,,False,,False,,True,Area_Name
25_Complaints_against_police.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
27_Nature_of_complaints_received_by_police.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
28_Trial_of_violent_crimes_by_courts.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
29_Period_of_trials_by_courts.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
30_Auto_theft.csv,PROPERTY_CRIME,True,Year,False,,False,,False,,True,Area_Name
31_Serious_fraud.csv,PROPERTY_CRIME,True,Year,False,,False,,False,,True,Area_Name
32_Murder_victim_age_sex.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
33_CH_not_murder_victim_age_sex.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
34_Use_of_fire_arms_in_murder_cases.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
35_Human_rights_violation_by_police.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
36_Police_housing.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
37_Home_guards_and_auxilliary_force.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,OTHER_SPECIALIZED,True,Year,False,,False,,False,,True,Area_Name
39_Specific_purpose_of_kidnapping_and_abduction.csv,VICTIM_OFFENDER_CHARACTERISTICS,True,Year,False,,False,,False,,True,Area_Name
40_01_Custodial_death_person_remanded.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
40_02_Custodial_death_person_not_remanded.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
40_03_Custodial_death_during_production.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
40_04_Custodial_death_during_hospitalization_or_treatment.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
40_05_Custodial_death_others.csv,JUSTICE_COURT,True,Year,False,,False,,False,,True,Area_Name
41_Escapes_from_police_custody.csv,POLICE_ADMINISTRATION,True,Year,False,,False,,False,,True,Area_Name
42_Cases_under_crime_against_women.csv,JUSTICE_COURT,True,Year; Cases_Pending_Investigation_from_previous_year; Cases_Pending_Trial_from_the_previous_year,False,,False,,False,,True,Area_Name
42_District_wise_crimes_committed_against_women_2001_2012.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
42_District_wise_crimes_committed_against_women_2013.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
42_District_wise_crimes_committed_against_women_2014.csv,DISTRICT_WISE_CRIME,True,Year,True,States/UTs,True,District,False,,True,In places related to work; In other Places
43_Arrests_under_crime_against_women.csv,ARREST_DISPOSAL,True,Year,False,,False,,False,,True,Area_Name
