column,unique_values,missing_count,missing_percentage
SC_POA_KIDNAPING_ABDUCTION_TOTAL,9,9128,92.61
SC_POA_OTHER_KIDNAPPING,9,9128,92.61
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,9,9128,92.61
ST_OTHER_SLL_CRIME_AGAINST_STS,9,9128,92.61
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,9,9128,92.61
WOMEN_ITP_UNDER_SECTION_7,9,9128,92.61
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,9,9128,92.61
IPC_RIOTS_INDUSTRIAL,10,9127,92.6
SC_IPC_KIDNAPPING_ABDUCTION,10,9128,92.61
SC_IPC_RIOTS,10,9128,92.61
ST_IPC_KIDNAPPING_ABDUCTION,10,9128,92.61
ST_IPC_RAPE,10,9128,92.61
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,11,9127,92.6
SC_IPC_RAPE,11,9128,92.61
ST_ARSON,11,968,9.82
ST_POA_SEXUAL_HARASSMENT,11,9128,92.61
WOMEN_ARSON,11,9128,92.61
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,11,9128,92.61
IPC_OTHER_OFFENCES_AGAINST_STATE,12,9127,92.6
SC_OTHER_SLL_CRIME_AGAINST_SCS,12,9128,92.61
SC_POA_ATTEMPT_TO_COMMIT_MURDER,12,9128,92.61
ST_IPC_OTHER_SEXUAL_HARASSMENT,12,9128,92.61
WOMEN_DACOITY_TOTAL,12,9128,92.61
WOMEN_OTHER_DACOITY,12,9128,92.61
IPC_OFFENCES_AGAINST_STATE,13,9127,92.6
SC_ROBBERY,13,1003,10.18
ST_DACOITY,13,968,9.82
CHILDREN_ABETMENT_OF_SUICIDE,14,1002,10.17
IPC_CUSTODIAL_OTHER_RAPE,14,9127,92.6
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,14,9127,92.6
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,14,9127,92.6
IPC_RIOTS_STUDENTS,14,9127,92.6
SC_IPC_OTHER_SEXUAL_HARASSMENT,14,9128,92.61
SC_POA_MURDER,14,9128,92.61
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,14,9128,92.61
ST_KIDNAPPING_ABDUCTION,14,968,9.82
WOMEN_CUSTODIAL_OTHER_RAPE,14,9128,92.61
YEAR,14,0,0.0
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,15,1002,10.17
IPC_KIDNAPPING_FOR_RANSOM,15,9127,92.6
IPC_OTHER_PLACES_RELATED_TO_WORK,15,9127,92.6
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,15,9128,92.61
ST_POA_GRIEVOUS_HURT,15,9128,92.61
ST_POA_HURT,15,9128,92.61
ST_ROBBERY,15,968,9.82
WOMEN_CUSTODIAL_RAPE,15,9128,92.61
WOMEN_IN_PLACES_RELATED_TO_WORK,15,9128,92.61
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,15,9128,92.61
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,16,1002,10.17
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,16,9127,92.6
IPC_CUSTODIAL_RAPE,16,225,2.28
SC_ARSON,16,1003,10.18
ST_POA_OTHER_SEXUAL_HARASSMENT,16,9128,92.61
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,16,9128,92.61
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,17,9127,92.6
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,17,9127,92.6
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,17,9128,92.61
WOMEN_HUMANTRAFFICKING,17,9128,92.61
WOMEN_ITP_UNDER_SECTION_5,17,9128,92.61
CHILDREN_FOETICIDE,19,1002,10.17
IPC_RIOTS_AGRARIAN,19,9127,92.6
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,19,9128,92.61
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,19,968,9.82
CHILDREN_OTHER_MURDER,20,9121,92.54
IPC_RIOTS_COMMUNAL,20,9127,92.6
IPC_VOYEURISM,20,9127,92.6
SC_POA_SEXUAL_HARASSMENT,20,9128,92.61
WOMEN_VOYEURISM,20,9128,92.61
