column,matched_keywords,dtype,non_missing_count,missing_count,missing_percentage,unique_values
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,GROUP,float64,729,9127,92.6,14
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,GROUP,float64,729,9127,92.6,14
