feature,mean_observed,median_observed,max_observed,non_missing,missing_pct
SC_PREVENTION_OF_ATROCITIES_POA_ACT,14.672992206031854,1.0,428.0,8853,10.176542207792208
IPC_FORGERY,14.486968449931412,0.0,980.0,729,92.60349025974025
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,13.935407773534036,5.0,2685.0,8902,9.679383116883116
IPC_ARSON,13.643962205378465,7.0,2350.0,9631,2.282873376623377
WOMEN_GRIEVOUS_HURT,12.92445054945055,2.0,968.0,728,92.61363636363636
CHILDREN_KIDNAPPING_AND_ABDUCTION,12.904675852721933,1.0,1161.0,8854,10.166396103896105
WOMEN_HURT,12.692307692307692,2.0,968.0,728,92.61363636363636
WOMEN_DOWRY_PROHIBITION_ACT_1961,12.425824175824175,0.0,365.0,728,92.61363636363636
WOMEN_ROBBERY,12.369505494505495,0.0,1237.0,728,92.61363636363636
WOMEN_KIDNAPING_ABDUCTION_OTHERS,12.248626373626374,0.0,612.0,728,92.61363636363636
IPC_UNLAWFUL_ASSEMBLY,11.925925925925926,0.0,1042.0,729,92.60349025974025
WOMEN_DOWRY_DEATHS,11.786188992731049,5.0,2335.0,9630,2.2930194805194803
IPC_DOWRY_DEATHS,11.784965216488423,5.0,2335.0,9631,2.282873376623377
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,11.630494505494505,0.0,665.0,728,92.61363636363636
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,11.614540466392318,0.0,665.0,729,92.60349025974025
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,11.32554945054945,0.0,385.0,728,92.61363636363636
WOMEN_MURDER,11.163461538461538,8.0,117.0,728,92.61363636363636
WOMEN_IN_OTHER_PLACES,10.82554945054945,0.0,658.0,728,92.61363636363636
IPC_PLACES_OTHER_THAN_231_232_233,10.810699588477366,0.0,658.0,729,92.60349025974025
IPC_EXTORTION,10.190672153635116,2.0,247.0,729,92.60349025974025
CHILDREN_OTHER_CRIMES,8.862435057601084,0.0,550.0,8854,10.166396103896105
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,8.792582417582418,0.0,100.0,728,92.61363636363636
WOMEN_ATTEMPT_TO_COMMIT_MURDER,8.541208791208792,1.0,1105.0,728,92.61363636363636
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,8.479395604395604,0.0,358.0,728,92.61363636363636
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,8.467764060356654,0.0,358.0,729,92.60349025974025
IPC_DEATHS_DUE_TO_OTHER_CAUSES,7.8079561042524,0.0,355.0,729,92.60349025974025
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,7.471153846153846,0.0,544.0,728,92.61363636363636
CHILDREN_RAPE,7.458662751298848,2.0,448.0,8854,10.166396103896105
IPC_DACOITY,7.102273907174748,3.0,833.0,9631,2.282873376623377
SC_IPC_OTHER_IPC_CRIMES,6.086538461538462,0.0,496.0,728,92.61363636363636
ST_TOTAL_IPC_CRIMES_AGAINST_STS,5.96978021978022,0.0,1929.0,728,92.61363636363636
WOMEN_STALKING,5.861263736263736,0.0,137.0,728,92.61363636363636
IPC_STALKING,5.8532235939643344,0.0,137.0,729,92.60349025974025
WOMEN_ATTEMPT_TO_COMMIT_RAPE,5.751373626373627,0.0,325.0,728,92.61363636363636
IPC_ATTEMPT_TO_COMMIT_RAPE,5.743484224965706,0.0,325.0,729,92.60349025974025
SC_HURT,5.661470687902406,0.0,273.0,8853,10.176542207792208
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,5.584882151386149,2.0,1268.0,9631,2.282873376623377
IPC_OTHER_DACOITY,5.227709190672154,3.0,90.0,729,92.60349025974025
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,5.013717421124828,0.0,218.0,729,92.60349025974025
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,4.491758241758242,0.0,380.0,728,92.61363636363636
ST_OTHER_CRIMES_AGAINST_STS,4.240886588658866,0.0,1375.0,8888,9.821428571428571
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,4.18153223994608,0.0,1099.0,8902,9.679383116883116
ST_IPC_OTHER_IPC_CRIMES,4.1304945054945055,0.0,1318.0,728,92.61363636363636
ST_POA_OTHER_IPC_CRIMES,3.896978021978022,0.0,86.0,728,92.61363636363636
IPC_COUNTERFIETING,3.2992585935744776,1.0,338.0,8902,9.679383116883116
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,3.179698216735254,0.0,170.0,729,92.60349025974025
WOMEN_RAPE_GANG_RAPE,3.114010989010989,0.0,111.0,728,92.61363636363636
IPC_RAPE_GANG_RAPE,3.1097393689986284,0.0,111.0,729,92.60349025974025
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,3.0398351648351647,0.0,65.0,728,92.61363636363636
SC_POA_GRIEVOUS_HURT,2.875,0.0,347.0,728,92.61363636363636
SC_POA_HURT,2.868131868131868,0.0,347.0,728,92.61363636363636
SC_POA_RAPE,2.8585164835164836,1.0,38.0,728,92.61363636363636
IPC_COUNTERFEITING,2.336076817558299,0.0,285.0,729,92.60349025974025
IPC_RIOTS_POLITICAL,2.156378600823045,0.0,300.0,729,92.60349025974025
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,2.1043956043956045,0.0,249.0,728,92.61363636363636
CHILDREN_OTHER_MURDER,2.103401360544218,1.0,28.0,735,92.54261363636364
IPC_KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,2.0603566529492454,0.0,227.0,729,92.60349025974025
CHILDREN_MURDER,1.9830028328611897,0.0,62.0,8119,17.623782467532468
IPC_RIOTS_CASTE_CONFLICT,1.9574759945130316,0.0,246.0,729,92.60349025974025
SC_RAPE,1.9291765503219247,0.0,38.0,8853,10.176542207792208
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,1.916323731138546,0.0,82.0,729,92.60349025974025
ST_PREVENTION_OF_ATROCITIES_POA_ACT,1.8906390639063906,0.0,513.0,8888,9.821428571428571
SC_POA_OTHER_SEXUAL_HARASSMENT,1.6195054945054945,0.0,40.0,728,92.61363636363636
IPC_RIOTS_COMMUNAL,1.5500685871056241,0.0,207.0,729,92.60349025974025
IPC_RIOTS_OTHER_CASTE_CONFLICT,1.5459533607681757,0.0,232.0,729,92.60349025974025
IPC_UNNATURAL_OFFENCE,1.4732510288065843,0.0,39.0,729,92.60349025974025
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,1.4711538461538463,0.0,50.0,728,92.61363636363636
ST_HURT,1.218159315931593,0.0,204.0,8888,9.821428571428571
ST_POA_RAPE,1.1923076923076923,0.0,30.0,728,92.61363636363636
WOMEN_ITP_UNDER_OTHER_SECTIONS,1.184065934065934,0.0,249.0,728,92.61363636363636
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,1.103021978021978,0.0,41.0,728,92.61363636363636
SC_POA_SEXUAL_HARASSMENT,1.0865384615384615,0.0,52.0,728,92.61363636363636
CHILDREN_EXPOSURE_AND_ABANDONMENT,1.0608764400271065,0.0,60.0,8854,10.166396103896105
SC_POA_RIOTS,1.0521978021978022,0.0,36.0,728,92.61363636363636
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,1.0,0.0,19.0,728,92.61363636363636
ST_RAPE,0.9957245724572458,0.0,329.0,8888,9.821428571428571
IPC_HUMANTRAFFICKING,0.9492455418381345,0.0,84.0,729,92.60349025974025
SC_MURDER,0.9296283745622953,0.0,24.0,8853,10.176542207792208
SC_POA_MURDER,0.9244505494505495,0.0,13.0,728,92.61363636363636
WOMEN_VOYEURISM,0.8406593406593407,0.0,41.0,728,92.61363636363636
IPC_VOYEURISM,0.8395061728395061,0.0,41.0,729,92.60349025974025
IPC_RIOTS_AGRARIAN,0.831275720164609,0.0,102.0,729,92.60349025974025
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,0.8161865569272977,0.0,26.0,729,92.60349025974025
IPC_KIDNAPPING_FOR_RANSOM,0.8106995884773662,0.0,23.0,729,92.60349025974025
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,0.7626886145404664,0.0,82.0,729,92.60349025974025
ST_POA_OTHER_SEXUAL_HARASSMENT,0.6634615384615384,0.0,27.0,728,92.61363636363636
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,0.6181318681318682,0.0,11.0,728,92.61363636363636
WOMEN_ARSON,0.6085164835164835,0.0,13.0,728,92.61363636363636
WOMEN_HUMANTRAFFICKING,0.6085164835164835,0.0,74.0,728,92.61363636363636
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,0.6071428571428571,0.0,218.0,728,92.61363636363636
WOMEN_IN_PLACES_RELATED_TO_WORK,0.6002747252747253,0.0,157.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_5,0.6002747252747253,0.0,44.0,728,92.61363636363636
IPC_OTHER_PLACES_RELATED_TO_WORK,0.5994513031550068,0.0,157.0,729,92.60349025974025
SC_KIDNAPPING_AND_ABDUCTION,0.5830791821981249,0.0,23.0,8853,10.176542207792208
CHILDREN_PROCURATION_OF_MINOR_GIRLS,0.5676530381748363,0.0,210.0,8854,10.166396103896105
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.5618131868131868,0.0,19.0,728,92.61363636363636
SC_POA_ATTEMPT_TO_COMMIT_MURDER,0.5398351648351648,0.0,16.0,728,92.61363636363636
ST_IPC_OTHER_SEXUAL_HARASSMENT,0.5260989010989011,0.0,209.0,728,92.61363636363636
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,0.489010989010989,0.0,112.0,728,92.61363636363636
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,0.4547610979329041,0.0,153.0,8853,10.176542207792208
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,0.4491758241758242,0.0,47.0,728,92.61363636363636
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,0.43131868131868134,0.0,44.0,728,92.61363636363636
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,0.4170096021947874,0.0,285.0,729,92.60349025974025
ST_IPC_KIDNAPPING_ABDUCTION,0.41346153846153844,0.0,139.0,728,92.61363636363636
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,0.411522633744856,0.0,27.0,729,92.60349025974025
ST_POA_GRIEVOUS_HURT,0.3873626373626374,0.0,25.0,728,92.61363636363636
ST_POA_HURT,0.385989010989011,0.0,25.0,728,92.61363636363636
WOMEN_DACOITY_TOTAL,0.36675824175824173,0.0,53.0,728,92.61363636363636
