feature,mean_observed,median_observed,max_observed,non_missing,missing_pct
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,0.024691358024691357,0.0,5.0,729,92.60349025974025
ST_DACOITY,0.024302430243024302,0.0,29.0,8888,9.821428571428571
IPC_CUSTODIAL_RAPE,0.023465891392378778,0.0,28.0,9631,2.282873376623377
SC_IPC_ARSON,0.02197802197802198,0.0,3.0,728,92.61363636363636
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,0.02197802197802198,0.0,6.0,728,92.61363636363636
SC_IPC_STALKING,0.02197802197802198,0.0,7.0,728,92.61363636363636
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,0.020604395604395604,0.0,2.0,728,92.61363636363636
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,0.019230769230769232,0.0,5.0,728,92.61363636363636
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,0.019204389574759947,0.0,5.0,729,92.60349025974025
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,0.017857142857142856,0.0,7.0,728,92.61363636363636
SC_POA_VOYEURISM,0.016483516483516484,0.0,3.0,728,92.61363636363636
ST_POA_ROBBERY,0.016483516483516484,0.0,2.0,728,92.61363636363636
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,0.01646090534979424,0.0,5.0,729,92.60349025974025
WOMEN_DACOITY_WITH_MURDER,0.01098901098901099,0.0,1.0,728,92.61363636363636
WOMEN_CUSTODIAL_GANG_RAPE,0.009615384615384616,0.0,3.0,728,92.61363636363636
IPC_CUSTODIAL_GANG_RAPE,0.009602194787379973,0.0,3.0,729,92.60349025974025
SC_IPC_OTHER_DACOITY,0.006868131868131868,0.0,2.0,728,92.61363636363636
ST_IPC_STALKING,0.006868131868131868,0.0,2.0,728,92.61363636363636
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.006868131868131868,0.0,2.0,728,92.61363636363636
SC_IPC_DACOITY,0.006868131868131868,0.0,2.0,728,92.61363636363636
SC_IPC_VOYEURISM,0.005494505494505495,0.0,4.0,728,92.61363636363636
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,0.004120879120879121,0.0,1.0,728,92.61363636363636
ST_POA_VOYEURISM,0.004120879120879121,0.0,1.0,728,92.61363636363636
SC_POA_ATTEMPT_TO_ACID_ATTACK,0.004120879120879121,0.0,3.0,728,92.61363636363636
ST_POA_OTHER_DACOITY,0.0027472527472527475,0.0,1.0,728,92.61363636363636
SC_POA_ACID_ATTACK,0.0027472527472527475,0.0,1.0,728,92.61363636363636
ST_POA_DACOITY,0.0027472527472527475,0.0,1.0,728,92.61363636363636
IPC_COUNTERFEITING_GOVERNMENT_STAMP,0.0027434842249657062,0.0,1.0,729,92.60349025974025
SC_POA_KIDNAPPING_FOR_RANSOM,0.0013736263736263737,0.0,1.0,728,92.61363636363636
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,0.0013736263736263737,0.0,1.0,728,92.61363636363636
ST_POA_ACID_ATTACK,0.0013736263736263737,0.0,1.0,728,92.61363636363636
SC_IPC_KIDNAPPING_FOR_RANSOM,0.0013736263736263737,0.0,1.0,728,92.61363636363636
ST_IPC_KIDNAPPING_FOR_RANSOM,0.0013736263736263737,0.0,1.0,728,92.61363636363636
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_DACOITY,0.0,0.0,0.0,728,92.61363636363636
SC_IPC_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,728,92.61363636363636
SC_IPC_ACID_ATTACK,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_VOYEURISM,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,728,92.61363636363636
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_ACID_ATTACK,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_DACOITY_WITH_MURDER,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_OTHER_DACOITY,0.0,0.0,0.0,728,92.61363636363636
ST_POA_KIDNAPPING_FOR_RANSOM,0.0,0.0,0.0,728,92.61363636363636
ST_IPC_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,728,92.61363636363636
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,0.0,0.0,0.0,728,92.61363636363636
SC_IPC_DACOITY_WITH_MURDER,0.0,0.0,0.0,728,92.61363636363636
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,728,92.61363636363636
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,0.0,0.0,0.0,728,92.61363636363636
ST_POA_DACOITY_WITH_MURDER,0.0,0.0,0.0,728,92.61363636363636
SC_POA_DACOITY_WITH_MURDER,0.0,0.0,0.0,728,92.61363636363636
ST_POA_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,728,92.61363636363636
