STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE
Uttar Pradesh,BASTI,2013,0,0,12,73,0,0,0,0,0,0,0,20,105,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BIJNOR,2013,0,28,34,67,0,0,0,0,0,0,0,78,207,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BULANDSHAHAR,2013,0,18,27,112,1,0,0,0,0,0,1,38,197,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,CHANDOLI,2013,0,1,11,35,0,0,0,0,0,0,1,23,71,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,CHITRAKOOT DHAM,2013,0,0,17,21,0,0,0,0,0,0,0,1,39,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,DEORIA,2013,0,8,30,161,0,1,0,0,0,0,0,23,223,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,ETAH,2013,1,7,23,13,0,8,0,0,0,0,1,41,94,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,ETAWAH,2013,1,6,18,55,0,0,0,0,0,0,0,1,81,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,FAIZABAD,2013,0,11,22,94,0,0,0,0,0,0,0,0,127,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,FATEHGARH,2013,0,7,7,10,0,0,0,0,0,0,0,11,35,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,FATEHPUR,2013,0,3,27,75,0,0,0,0,0,0,0,36,141,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,FIROZABAD,2013,0,4,39,169,0,0,0,0,0,0,0,0,212,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,G.R.P.,2013,0,1,3,33,0,0,1,0,0,0,0,3,41,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,GAUTAMBUDH NAGAR,2013,0,12,8,133,1,0,0,0,0,0,0,21,175,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,GHAZIABAD,2013,1,3,14,180,4,4,0,0,0,0,0,34,240,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,GHAZIPUR,2013,0,1,13,91,2,3,0,0,0,0,0,17,127,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,GONDA,2013,0,1,14,93,0,0,0,0,0,0,0,32,140,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,GORAKHPUR,2013,0,8,21,170,0,2,0,0,0,0,0,36,237,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,HAMIRPUR,2013,0,0,15,15,0,0,0,0,0,0,0,25,55,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,HAPUR,2013,0,2,15,38,0,0,0,0,0,0,0,5,60,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,HARDOI,2013,0,1,19,130,1,7,0,0,0,0,0,17,175,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,HATHRAS,2013,0,9,21,71,0,0,0,0,0,0,0,26,127,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,JALAUN,2013,0,6,6,33,0,0,0,0,0,0,0,20,65,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,JAUNPUR,2013,0,0,53,131,0,0,0,0,0,0,0,39,223,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,JHANSI,2013,0,5,9,41,0,0,0,0,0,0,0,33,88,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KANNAUJ,2013,0,7,12,83,0,0,0,0,0,0,0,21,123,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KANPUR DEHAT,2013,0,11,22,74,0,0,0,0,0,0,1,1,109,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KANPUR NAGAR,2013,0,10,19,152,0,0,0,0,0,0,0,32,213,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KASGANJ,2013,0,3,9,70,0,0,0,0,0,0,0,10,92,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KAUSHAMBI,2013,0,1,7,37,0,0,0,0,0,0,0,0,45,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KHIRI,2013,0,7,23,127,0,0,0,0,0,0,0,75,232,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,KUSHI NAGAR,2013,0,6,22,117,1,0,0,0,0,0,0,77,223,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,LALITPUR,2013,0,6,6,20,0,0,0,0,0,0,0,15,47,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,LUCKNOW,2013,1,4,32,54,3,2,0,0,0,0,0,118,214,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MAHARAJGANJ,2013,0,4,6,60,0,0,0,0,0,0,0,30,100,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MAHOBA,2013,0,1,9,7,0,0,0,0,0,0,0,0,17,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MAINPURI,2013,0,5,13,88,0,0,0,0,0,0,0,15,121,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MATHURA,2013,0,11,13,44,0,0,0,0,0,0,1,6,75,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MAU,2013,0,1,14,80,0,0,0,0,0,0,0,7,102,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MEERUT,2013,0,28,27,115,0,0,1,0,0,0,0,63,234,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MIRZAPUR,2013,0,2,4,6,0,0,0,0,0,0,0,2,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MORADABAD,2013,0,14,30,108,1,2,1,0,0,0,0,50,206,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,MUZAFFARNAGAR,2013,0,16,20,200,0,0,0,0,0,0,0,10,246,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,PILIBHIT,2013,0,2,14,10,0,0,0,0,0,0,0,15,41,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,PRATAPGARH,2013,0,7,15,89,0,0,0,0,0,0,0,13,124,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,RAIBAREILLY,2013,0,1,22,60,0,0,0,0,0,0,0,18,101,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,RAMPUR,2013,0,6,9,9,0,2,0,0,0,0,0,7,33,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SAHARANPUR,2013,0,13,18,38,1,0,0,0,0,0,0,49,119,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SAMBHAL,2013,0,9,9,116,0,0,0,0,0,0,0,22,156,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SANT KABIRNAGAR,2013,0,0,15,59,0,0,0,0,0,0,0,22,96,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SHAHJAHANPUR,2013,0,10,11,35,0,0,0,0,0,0,0,31,87,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SHAMLI,2013,0,4,12,51,0,0,0,0,0,0,0,4,71,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SHRAWASTI,2013,0,1,6,28,0,0,0,0,0,0,0,5,40,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SIDHARTHNAGAR,2013,0,1,9,54,0,0,0,0,0,0,0,20,84,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SITAPUR,2013,0,1,52,225,1,0,0,0,0,0,0,75,354,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SONBHADRA,2013,0,7,15,12,0,0,0,0,0,0,0,3,37,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,ST.RAVIDASNAGAR,2013,0,2,3,15,0,0,0,0,0,0,0,4,24,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,SULTANPUR,2013,0,7,15,99,0,2,0,0,0,0,0,29,152,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,UNNAO,2013,2,6,18,155,0,0,0,0,0,0,0,85,266,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,VARANASI,2013,0,1,26,134,0,0,0,0,0,0,0,31,192,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,TOTAL,2013,10,482,1381,6002,17,36,3,0,0,0,5,1921,9857,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,ALMORA,2013,0,0,3,0,0,0,0,0,0,0,0,1,4,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,BAGESHWAR,2013,0,0,0,0,0,0,0,0,0,0,0,2,2,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,CHAMOLI,2013,0,0,3,9,0,0,0,1,0,0,0,0,13,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,CHAMPAWAT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,DEHRADUN,2013,0,2,10,115,0,0,0,0,0,0,0,4,131,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,HARIDWAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,NAINITAL,2013,0,3,0,12,0,0,0,0,0,0,0,0,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,PAURI GARHWAL,2013,0,0,2,8,0,0,0,0,0,0,0,0,10,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,PITHORAGARH,2013,0,0,4,0,0,0,0,0,0,0,0,0,4,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,RUDRA PRAYAG,2013,0,0,1,0,0,0,0,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,TEHRI GARHWAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,UDHAMSINGH NAGAR,2013,0,1,5,31,0,0,0,0,0,0,0,1,38,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,UTTARKASHI,2013,0,1,4,6,0,0,0,0,0,0,0,3,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttarakhand,TOTAL,2013,0,7,32,181,0,0,0,1,0,0,0,11,232,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,24 PARGANAS NORTH,2013,0,5,51,163,0,0,0,78,0,23,6,0,326,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,24 PARGANAS SOUTH,2013,0,3,14,367,1,0,1,50,0,10,1,10,457,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,ASANSOL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,BANKURA,2013,0,0,8,1,0,0,0,0,0,0,1,0,10,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,BDN CP,2013,0,0,0,0,0,0,0,0,0,0,1,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,BIRBHUM,2013,0,5,25,52,0,0,0,0,0,0,0,0,82,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,BKP CP,2013,0,0,0,27,0,0,0,0,0,0,0,0,27,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,BURDWAN,2013,0,5,12,0,1,0,0,10,0,5,1,5,39,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,COOCHBEHAR,2013,0,2,7,88,1,0,0,12,0,2,1,4,117,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,DAKSHIN DINAJPUR,2013,0,1,15,33,0,1,0,0,0,0,0,12,62,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,DARJEELING,2013,0,1,2,0,0,0,0,5,0,1,0,2,11,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,HOOGHLY,2013,0,5,12,5,0,0,0,0,0,0,0,0,22,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,HOWRAH,2013,0,0,0,0,0,0,0,0,0,0,1,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,HOWRAH CITY,2013,0,0,0,120,0,0,0,0,0,0,2,0,122,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,HOWRAH G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,JALPAIGURI,2013,0,2,2,51,0,0,0,5,0,2,5,2,69,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,JHARGRAM,2013,0,2,0,0,0,0,0,0,0,0,0,0,2,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,KHARAGPUR G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,KOLKATA,2013,0,4,58,156,0,4,0,8,0,9,0,42,281,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,MALDA,2013,0,0,7,154,0,0,0,3,0,0,3,1,168,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,MURSHIDABAD,2013,0,18,109,87,0,0,0,210,0,4,6,7,441,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,NADIA,2013,0,1,1,0,0,0,0,0,0,0,0,0,2,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,PASCHIM MIDNAPUR,2013,0,0,1,0,0,0,0,2,0,0,2,1,6,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,PURAB MIDNAPUR,2013,0,9,27,20,0,0,0,72,1,4,2,0,135,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,PURULIA,2013,0,0,12,0,0,0,0,0,0,0,3,2,17,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,SEALDAH G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,SILIGURI G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,SILIGURI_PC,2013,0,0,0,46,0,0,0,0,0,0,2,0,48,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,UTTAR DINAJPUR,2013,0,5,14,18,0,0,0,31,0,9,6,0,83,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
West Bengal,TOTAL,2013,0,68,377,1388,3,5,1,486,1,69,43,89,2530,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
A&N Islands,CAR,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
A&N Islands,NORTH,2013,0,0,4,5,0,0,0,0,0,0,0,6,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
A&N Islands,SOUTH,2013,0,0,17,7,1,0,2,0,0,0,0,11,38,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
A&N Islands,TOTAL,2013,0,0,21,12,1,0,2,0,0,0,0,18,54,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Chandigarh,CHANDIGARH,2013,0,2,19,164,0,0,2,0,0,0,0,26,213,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Chandigarh,TOTAL,2013,0,2,19,164,0,0,2,0,0,0,0,26,213,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
D&N Haveli,D&N HAVELI,2013,0,0,4,10,0,0,0,0,0,0,0,0,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
D&N Haveli,TOTAL,2013,0,0,4,10,0,0,0,0,0,0,0,0,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Daman & Diu,DAMAN,2013,0,1,4,8,0,0,0,0,0,0,0,1,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Daman & Diu,DIU,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Daman & Diu,TOTAL,2013,0,1,4,8,0,0,0,0,0,0,0,1,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,CAW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,CENTRAL,2013,0,2,39,197,1,0,3,0,0,0,0,57,299,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,CRIME BRANCH,2013,0,0,2,1,0,0,0,0,0,0,0,1,4,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,EAST,2013,0,3,83,674,0,0,9,0,0,0,0,3,772,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,EOW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,GRP(RLY),2013,0,1,4,17,0,0,9,0,0,0,0,1,32,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,IGI AIRPORT,2013,0,0,0,1,0,0,0,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,METRO RAIL,2013,0,0,0,7,0,0,1,0,0,0,0,1,9,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,NEW DELHI,2013,0,0,10,63,0,0,1,0,0,0,0,15,89,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,NORTH,2013,0,1,17,251,0,0,3,0,0,0,0,13,285,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,NORTH-EAST,2013,0,5,91,845,0,0,10,0,0,0,0,29,980,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,NORTH-WEST,2013,0,0,78,569,0,0,1,0,0,0,0,32,680,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,OUTER,2013,1,7,93,873,0,0,5,0,0,0,0,59,1038,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,SOUTH,2013,0,2,34,482,0,0,6,0,0,0,0,65,589,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,SOUTH-EAST,2013,0,5,120,655,1,0,2,0,0,0,0,25,808,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,SOUTH-WEST,2013,1,1,94,503,1,0,3,0,0,0,1,86,690,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,STF,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,WEST,2013,0,6,92,671,0,1,3,0,0,0,0,150,923,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Delhi UT,TOTAL,2013,2,33,757,5809,3,1,56,0,0,0,1,537,7199,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Lakshadweep,LAKSHADWEEP,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Lakshadweep,TOTAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Puducherry,KARAIKAL,2013,0,0,4,0,0,0,0,0,0,0,0,0,4,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Puducherry,PUDUCHERRY,2013,0,0,5,34,0,0,1,0,0,0,1,2,43,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Puducherry,TOTAL,2013,0,0,9,34,0,0,1,0,0,0,1,2,47,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
