STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE
Rajasthan,BUNDI,2013,0,0,32,45,0,0,1,0,0,0,0,0,78,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,CHITTORGARH,2013,0,1,34,10,0,0,1,0,1,0,1,13,61,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,CHURU,2013,0,0,28,11,4,0,1,0,0,0,0,0,44,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,DAUSA,2013,0,1,12,43,0,0,0,0,0,0,0,0,56,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,DHOLPUR,2013,0,4,19,15,0,0,4,0,0,0,0,10,52,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,DISCOM,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,DUNGARPUR,2013,0,1,48,57,0,0,0,0,0,0,0,0,106,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,G.R.P.AJMER,2013,0,0,0,7,0,0,12,0,0,0,0,0,19,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,G.R.P.JODHPUR,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,GANGANAGAR,2013,0,1,25,42,2,0,7,13,0,0,0,10,100,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,HANUMANGARH,2013,0,0,38,28,3,0,0,24,0,0,0,3,96,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JAIPUR EAST,2013,0,1,8,68,0,0,12,0,0,0,1,2,92,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JAIPUR NORTH,2013,1,1,5,28,5,0,4,1,0,0,0,23,68,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JAIPUR RURAL,2013,0,4,28,69,3,0,18,0,0,0,0,5,127,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JAIPUR SOUTH,2013,0,0,15,38,0,1,1,0,0,0,0,11,66,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JAIPUR WEST,2013,0,0,13,116,5,0,1,0,0,0,0,9,144,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JAISALMER,2013,0,0,9,2,0,0,1,0,0,0,0,0,12,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JALORE,2013,0,3,18,19,0,0,4,0,0,0,1,0,45,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JHALAWAR,2013,0,0,37,76,0,0,4,0,0,0,0,0,117,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JHUNJHUNU,2013,1,2,34,29,0,0,5,0,0,0,0,0,71,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JODHPUR EAST,2013,0,1,2,5,0,0,6,0,0,0,0,0,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JODHPUR RURAL,2013,1,1,25,26,0,0,0,0,0,0,0,0,53,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,JODHPUR WEST,2013,0,1,19,26,0,0,8,0,0,0,0,0,54,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,KARAULI,2013,0,0,9,25,1,0,1,0,0,0,0,0,36,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,KOTA CITY,2013,0,1,28,0,0,0,13,8,0,0,0,0,50,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,KOTA RURAL,2013,0,0,0,0,2,0,1,4,0,0,0,0,7,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,NAGAUR,2013,0,1,27,36,1,0,4,0,0,0,0,15,84,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,PALI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,PRATAPGARH,2013,0,1,55,42,0,0,6,0,0,0,0,0,104,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,RAJSAMAND,2013,0,1,9,8,0,0,4,0,0,0,0,1,23,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,SAWAI MADHOPUR,2013,0,3,12,32,1,0,5,0,0,0,0,0,53,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,SIKAR,2013,0,0,26,45,0,0,16,0,0,0,0,0,87,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,SIROHI,2013,0,3,18,20,0,0,0,0,0,0,1,2,44,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,TONK,2013,0,1,14,25,4,0,6,0,0,0,0,0,50,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,UDAIPUR,2013,1,4,52,136,0,0,24,0,0,0,0,7,224,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Rajasthan,TOTAL,2013,8,64,892,1426,34,1,226,54,1,0,5,177,2888,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Sikkim,EAST,2013,0,0,16,8,0,0,0,0,0,0,0,0,24,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Sikkim,NORTH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Sikkim,SOUTH,2013,0,0,5,5,0,0,0,0,0,0,0,0,10,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Sikkim,WEST,2013,0,0,4,1,0,0,0,0,0,0,0,0,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Sikkim,TOTAL,2013,0,0,25,14,0,0,0,0,0,0,0,0,39,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,ARIYALUR,2013,0,3,2,3,0,0,0,0,0,0,1,4,13,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
